spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,liked_at,name,artists,popularity,artist_id,genres
76YGvWy36ftupwff9SCl7J,0.559,0.905,6,-5.362,0,0.15,0.0155,0.00283,0.316,0.822,114.83,audio_features,spotify:track:76YGvWy36ftupwff9SCl7J,https://api.spotify.com/v1/tracks/76YGvWy36ftupwff9SCl7J,https://api.spotify.com/v1/audio-analysis/76YGvWy36ftupwff9SCl7J,150261,4,2023-07-18T17:01:29Z,『82.99 F.M』,Macross 82-99,59,5C8KyBfvAz9PSaOd30eIow,"['future funk', 'kawaii future bass', 'vaporwave']"
0D5YcW57alDCPA6XQwwKcZ,0.648,0.341,1,-14.395,1,0.0363,0.844,0.564,0.128,0.725,140.083,audio_features,spotify:track:0D5YcW57alDCPA6XQwwKcZ,https://api.spotify.com/v1/tracks/0D5YcW57alDCPA6XQwwKcZ,https://api.spotify.com/v1/audio-analysis/0D5YcW57alDCPA6XQwwKcZ,125408,4,2023-07-17T12:57:27Z,Woodpecker,Explosions In The Sky,48,1uQWmt1OhuHGRKmZ2ZcL6p,"['american post-rock', 'cinematic post-rock', 'instrumental post-rock', 'melancholia', 'post-rock']"
0DxN6Ywom8nnndyQXdSBPy,0.382,0.932,4,-3.726,0,0.0716,3.5e-05,0.0,0.243,0.57,179.581,audio_features,spotify:track:0DxN6Ywom8nnndyQXdSBPy,https://api.spotify.com/v1/tracks/0DxN6Ywom8nnndyQXdSBPy,https://api.spotify.com/v1/audio-analysis/0DxN6Ywom8nnndyQXdSBPy,218707,4,2023-07-13T21:34:30Z,Breathing,Yellowcard,65,3zxKH0qp3nBCuPZCZT5Vaf,"['alternative metal', 'bow pop', 'pop punk', 'post-grunge', 'socal pop punk']"
1oTo3ijRbaDAtrjJrGAPSw,0.664,0.781,11,-6.547,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,audio_features,spotify:track:1oTo3ijRbaDAtrjJrGAPSw,https://api.spotify.com/v1/tracks/1oTo3ijRbaDAtrjJrGAPSw,https://api.spotify.com/v1/audio-analysis/1oTo3ijRbaDAtrjJrGAPSw,227240,4,2023-07-13T21:34:24Z,I Miss You,blink-182,75,6FBDaR13swtiWwGhX1WQsP,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']"
1P30N7kY4XwOw7vwmjRxPH,0.355,0.666,0,-6.263,1,0.0364,9.21e-05,0.0,0.116,0.268,183.896,audio_features,spotify:track:1P30N7kY4XwOw7vwmjRxPH,https://api.spotify.com/v1/tracks/1P30N7kY4XwOw7vwmjRxPH,https://api.spotify.com/v1/audio-analysis/1P30N7kY4XwOw7vwmjRxPH,216693,3,2023-07-13T21:12:43Z,Empty Apartment,Yellowcard,54,3zxKH0qp3nBCuPZCZT5Vaf,"['alternative metal', 'bow pop', 'pop punk', 'post-grunge', 'socal pop punk']"
5JCopwE2nzhiWORzo7S9VU,0.615,0.52,5,-7.597,0,0.0367,0.172,0.000431,0.117,0.303,119.787,audio_features,spotify:track:5JCopwE2nzhiWORzo7S9VU,https://api.spotify.com/v1/tracks/5JCopwE2nzhiWORzo7S9VU,https://api.spotify.com/v1/audio-analysis/5JCopwE2nzhiWORzo7S9VU,207579,3,2023-07-10T21:40:32Z,Cracks in the Pavement,Mini Trees,36,5gmk49M0KriLVEWOqAoqjH,[]
1RcKEwbDLoLLkwCng0DzZq,0.505,0.626,5,-4.866,0,0.0255,0.0645,0.0036,0.106,0.129,169.962,audio_features,spotify:track:1RcKEwbDLoLLkwCng0DzZq,https://api.spotify.com/v1/tracks/1RcKEwbDLoLLkwCng0DzZq,https://api.spotify.com/v1/audio-analysis/1RcKEwbDLoLLkwCng0DzZq,194823,4,2023-06-29T23:16:48Z,Signal,"Rezz,Grabbitz",60,4aKdmOXdUKX07HVd3sGgzw,"['brostep', 'canadian electronic', 'edm', 'electra', 'electro house']"
75mAD644Ep6z57MUjaB3OG,0.38,0.874,7,-6.439,1,0.28,0.0424,0.0,0.104,0.794,86.561,audio_features,spotify:track:75mAD644Ep6z57MUjaB3OG,https://api.spotify.com/v1/tracks/75mAD644Ep6z57MUjaB3OG,https://api.spotify.com/v1/audio-analysis/75mAD644Ep6z57MUjaB3OG,198194,4,2023-06-24T14:08:07Z,Moonlight,"Uraelb,Mick Jenkins",36,6kc3j1EsXF6jWCDLFWsxJS,[]
4u47Dvl23rSK9yVvuUbaTQ,0.506,0.764,11,-7.294,1,0.0621,0.076,0.049,0.223,0.706,120.018,audio_features,spotify:track:4u47Dvl23rSK9yVvuUbaTQ,https://api.spotify.com/v1/tracks/4u47Dvl23rSK9yVvuUbaTQ,https://api.spotify.com/v1/audio-analysis/4u47Dvl23rSK9yVvuUbaTQ,169707,4,2023-06-23T10:54:46Z,Song of Mana ~Opening Theme~,Annika,18,0m67C2HYo4DuqBDBuz2Wqz,[]
2dI1rjHs0zJuXdKo55ePA9,0.522,0.858,0,-5.824,1,0.0469,0.177,1.05e-05,0.154,0.333,99.0,audio_features,spotify:track:2dI1rjHs0zJuXdKo55ePA9,https://api.spotify.com/v1/tracks/2dI1rjHs0zJuXdKo55ePA9,https://api.spotify.com/v1/audio-analysis/2dI1rjHs0zJuXdKo55ePA9,193561,4,2023-06-20T16:20:51Z,gwen,wilt,46,2VnYxiqJFYjBlP3RWRr9Fy,[]
